sample_index,timestamp_ms,ch2_mv,packet_index
58638,117276.000,-10.069896,2345
58639,117278.000,-9.946634,2345
58640,117280.000,-10.079719,2345
58641,117282.000,-10.571481,2345
58642,117284.000,-11.136724,2345
58643,117286.000,-11.422111,2345
58644,117288.000,-11.378290,2345
58645,117290.000,-11.154844,2345
58646,117292.000,-10.724260,2345
58647,117294.000,-10.345699,2345
58648,117296.000,-10.060073,2345
58649,117298.000,-9.938670,2345
58650,117300.000,-10.073138,2346
58651,117302.000,-10.565234,2346
58652,117304.000,-11.131145,2346
58653,117306.000,-11.427976,2346
58654,117308.000,-11.449386,2346
58655,117310.000,-11.234094,2346
58656,117312.000,-10.755302,2346
58657,117314.000,-10.337449,2346
58658,117316.000,-10.061647,2346
58659,117318.000,-9.950067,2346
58660,117320.000,-10.088445,2346
58661,117322.000,-10.582591,2346
58662,117324.000,-11.149360,2346
58663,117326.000,-11.439849,2346
58664,117328.000,-11.444284,2346
58665,117330.000,-11.224700,2346
58666,117332.000,-10.742761,2346
58667,117334.000,-10.327627,2346
58668,117336.000,-10.043622,2346
58669,117338.000,-9.929086,2346
58670,117340.000,-10.066177,2346
58671,117342.000,-10.555602,2346
58672,117344.000,-11.119415,2346
58673,117346.000,-11.406471,2346
58674,117348.000,-11.380769,2346
58675,117350.000,-11.156131,2347
58676,117352.000,-10.699846,2347
58677,117354.000,-10.312797,2347
58678,117356.000,-10.031415,2347
58679,117358.000,-9.918166,2347
58680,117360.000,-10.058118,2347
58681,117362.000,-10.556413,2347
58682,117364.000,-11.122610,2347
58683,117366.000,-11.407758,2347
58684,117368.000,-11.380912,2347
58685,117370.000,-11.174251,2347
58686,117372.000,-10.725499,2347
58687,117374.000,-10.339547,2347
58688,117376.000,-10.064126,2347
58689,117378.000,-9.957505,2347
58690,117380.000,-10.097696,2347
58691,117382.000,-10.598232,2347
58692,117384.000,-11.158468,2347
58693,117386.000,-11.444427,2347
58694,117388.000,-11.428977,2347
58695,117390.000,-11.194326,2347
58696,117392.000,-10.717489,2347
58697,117394.000,-10.317375,2347
58698,117396.000,-10.037519,2347
58699,117398.000,-9.929467,2347
58700,117400.000,-10.074664,2348
58701,117402.000,-10.583116,2348
58702,117404.000,-11.148645,2348
58703,117406.000,-11.439468,2348
58704,117408.000,-11.430742,2348
58705,117410.000,-11.196996,2348
58706,117412.000,-10.719539,2348
58707,117414.000,-10.320140,2348
58708,117416.000,-10.035516,2348
58709,117418.000,-9.927846,2348
58710,117420.000,-10.072519,2348
58711,117422.000,-10.568954,2348
58712,117424.000,-11.127283,2348
58713,117426.000,-11.406661,2348
58714,117428.000,-11.390306,2348
58715,117430.000,-11.175681,2348
58716,117432.000,-10.702945,2348
58717,117434.000,-10.307027,2348
58718,117436.000,-10.031654,2348
58719,117438.000,-9.931518,2348
58720,117440.000,-10.085536,2348
58721,117442.000,-10.597373,2348
58722,117444.000,-11.156989,2348
58723,117446.000,-11.435272,2348
58724,117448.000,-11.405803,2348
